Date,TSLA,F,GM,TM
2016-01-04,14.894000053405762,8.16505241394043,26.85259246826172,92.7034912109375
2016-01-05,14.895333290100098,8.01893424987793,26.143177032470703,92.4592514038086
2016-01-06,14.602666854858398,7.662407398223877,25.208053588867188,90.35267639160156
2016-01-07,14.376667022705078,7.422773361206055,24.17619514465332,88.20799255371094
2016-01-08,14.066666603088379,7.329258441925049,23.80537223815918,86.2922592163086
2016-01-11,13.856666564941406,7.463686466217041,24.385791778564453,87.62791442871094
2016-01-12,13.998000144958496,7.510444164276123,24.426097869873047,88.40644073486328
2016-01-13,13.354000091552734,7.1305389404296875,24.579265594482422,87.76530456542969
2016-01-14,13.745332717895508,7.124693393707275,24.426097869873047,88.75752258300781
2016-01-15,13.666000366210938,6.996110916137695,23.837610244750977,85.941162109375
2016-01-19,13.64799976348877,6.984420299530029,23.700572967529297,87.78819274902344
2016-01-20,13.24666690826416,6.955195903778076,23.716693878173828,85.1092300415039
2016-01-21,13.33133316040039,7.0194902420043945,23.821491241455078,84.7962875366211
2016-01-22,13.50333309173584,7.095469951629639,23.603836059570312,88.49800872802734
2016-01-25,13.092000007629395,7.001951694488525,23.56353187561035,86.55938720703125
2016-01-26,12.904000282287598,7.1656084060668945,23.90210723876953,87.27682495117188
2016-01-27,12.538000106811523,7.1595659255981445,23.547405242919922,88.01717376708984
2016-01-28,12.646666526794434,7.074978828430176,23.394241333007812,88.62777709960938
2016-01-29,12.74666690826416,7.213943004608154,23.894044876098633,91.61205291748047
2016-02-01,13.129332542419434,7.292484283447266,24.272939682006836,91.89443969726562
2016-02-02,12.185333251953125,6.954143047332764,23.90210723876953,90.82589721679688
2016-02-03,11.565333366394043,6.92393159866333,23.313621520996094,87.76530456542969
2016-02-04,11.688667297363281,6.966226100921631,23.087902069091797,87.23104095458984
2016-02-05,10.84000015258789,6.917890548706055,23.007286071777344,84.25439453125
2016-02-08,9.866000175476074,7.002478122711182,23.12015151977539,83.2927017211914
2016-02-09,9.883333206176758,6.8574724197387695,22.46717643737793,81.54487609863281
2016-02-10,9.57800006866455,6.851433753967285,22.338193893432617,81.4914321899414
2016-02-11,10.031332969665527,6.748720645904541,21.68521499633789,80.2015609741211
2016-02-12,10.06933307647705,6.978308200836182,22.338193893432617,80.33894348144531
2016-02-16,10.344667434692383,7.171648979187012,23.039539337158203,82.59050750732422
2016-02-17,11.245332717895508,7.4133219718933105,23.595775604248047,82.52945709228516
2016-02-18,11.118000030517578,7.407281398773193,23.402299880981445,82.01044464111328
2016-02-19,11.10533332824707,7.310611248016357,23.200767517089844,80.37710571289062
2016-02-22,11.849332809448242,7.588537693023682,23.885984420776367,81.43040466308594
2016-02-23,11.814000129699707,7.503951549530029,23.6844482421875,80.61371612548828
2016-02-24,11.933333396911621,7.298528671264648,23.249135971069336,79.82757568359375
2016-02-25,12.495332717895508,7.485823631286621,23.781190872192383,80.5755615234375
2016-02-26,12.689332962036133,7.534158229827881,23.885984420776367,80.24737548828125
2016-02-29,12.795332908630371,7.558326721191406,23.732820510864258,79.4535903930664
2016-03-01,12.423333168029785,7.908751010894775,24.19232177734375,81.21668243408203
2016-03-02,12.555999755859375,7.987295627593994,24.305177688598633,81.65937042236328
2016-03-03,13.049332618713379,8.180634498596191,25.04682731628418,82.86529541015625
2016-03-04,13.402667045593262,8.210844039916992,25.28866958618164,83.61325073242188
2016-03-07,13.685999870300293,8.228968620300293,25.46601676940918,82.36154174804688
2016-03-08,13.506667137145996,7.993338584899902,24.732433319091797,80.766357421875
2016-03-09,13.914667129516602,7.969170093536377,24.928335189819336,81.09456634521484
2016-03-10,13.678667068481445,7.945000648498535,25.156885147094727,81.72805786132812
2016-03-11,13.833333015441895,8.029587745666504,25.516036987304688,83.39192199707031
2016-03-14,14.34333324432373,8.017505645751953,25.450740814208984,83.15531158447266
2016-03-15,14.555999755859375,7.993338584899902,25.344619750976562,81.83489990234375
2016-03-16,14.795332908630371,8.156466484069824,25.867021560668945,82.07915496826172
2016-03-17,15.092000007629395,8.138343811035156,26.087406158447266,82.37682342529297
2016-03-18,15.515999794006348,8.241052627563477,26.087406158447266,81.36167907714844
2016-03-21,15.887999534606934,8.253134727478027,26.18536376953125,81.77384948730469
2016-03-22,15.616000175476074,8.210844039916992,26.038434982299805,82.88819122314453
2016-03-23,14.838666915893555,8.011463165283203,25.55685043334961,82.50656127929688
2016-03-24,15.183333396911621,7.890626907348633,25.271156311035156,81.14798736572266
2016-03-28,15.350666999816895,7.908751010894775,25.320131301879883,82.9568862915039
2016-03-29,15.342000007629395,7.975213527679443,25.458900451660156,84.25943756103516
2016-03-30,15.12600040435791,8.065838813781738,25.295644760131836,83.67620849609375
2016-03-31,15.317999839782715,8.156466484069824,25.654800415039062,82.6808090209961
2016-04-01,15.839332580566406,7.914795875549316,24.871192932128906,80.5188980102539
2016-04-04,16.465999603271484,7.733538627624512,24.405935287475586,78.83914947509766
2016-04-05,17.031333923339844,7.7154130935668945,24.16105079650879,76.78612518310547
2016-04-06,17.69466781616211,7.745623588562012,24.43857765197754,77.38493347167969
2016-04-07,17.14666748046875,7.56436824798584,24.014131546020508,76.420654296875
2016-04-08,16.67133331298828,7.582495212554932,23.97332000732422,78.27925872802734
2016-04-11,16.661333084106445,7.648952484130859,24.10391616821289,76.5450668334961
2016-04-12,16.521333694458008,7.739580154418945,24.25084114074707,78.99469757080078
2016-04-13,16.968666076660156,7.890626907348633,25.124235153198242,81.07882690429688
2016-04-14,16.790666580200195,7.908751010894775,25.075260162353516,81.62318420410156
